Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
102,32.93,52.89,594485,916126,1339438,1982575,3100681,4923077,8167498,14200650,29897810,46119636
103,32.92,52.89,593451,917357,1338125,1982575,3107739,4918643,8155301,14163821,30041714,46711332
104,32.91,52.86,594485,919210,1347368,1981137,3069314,4861721,8155301,14331074,30124570,46962380
105,32.89,52.87,592421,916741,1335507,1979700,3105972,4918643,8179730,14209887,30207882,47216140
106,32.89,52.88,595003,921070,1338125,1976834,3121951,4931968,8204306,14454345,30481860,46561988
107,32.91,52.89,596563,921692,1352708,1994158,3121951,4905389,8229030,14331074,30333720,47267220
108,32.92,52.87,597085,915512,1347368,2002934,3111280,4931968,8241448,14359334,30333720,47165168
109,32.92,52.84,595522,921070,1355394,1997075,3120168,4940892,8229030,14246957,30524452,47627908
110,32.91,52.82,598655,927956,1350033,2001466,3114829,4945366,8241448,14397188,30439386,47012912
111,32.90,52.84,597085,927326,1344714,1989798,3114829,4958838,8222836,14340481,30439386,47318412
112,32.90,52.86,596563,919210,1356741,1995615,3109508,4949849,8216650,14406683,30460608,47063556
113,32.91,52.88,595522,920449,1352708,2000000,3121951,4949849,8216650,14349901,30418194,46911956
114,32.90,52.86,597085,921070,1347368,1995615,3116606,4954340,8253904,14359334,30460608,47576044
115,32.92,52.85,597607,922938,1336815,2000000,3109508,4945366,8229030,14312295,30145354,47165168
116,32.92,52.83,592936,921070,1342071,1989798,3121951,4923077,8173610,14425710,30103812,47165168
117,32.89,52.83,594485,917974,1355394,1991249,3105972,4923077,8216650,14359334,30270670,47267220
118,32.92,52.84,595003,922315,1344714,1995615,3125524,4909799,8222836,14444787,30333720,47731972
119,32.91,52.85,595522,922938,1343391,1992702,3118386,4945366,8229030,14340481,30354794,47216140
120,32.91,52.85,596563,919210,1356741,1985458,3097164,4945366,8216650,14387706,30270670,47114308
121,32.92,52.81,596042,917974,1344714,1981137,3125524,4945366,8235235,14293566,30333720,46315196
122,32.92,52.83,596563,919829,1354050,2005877,3118386,4936426,8229030,14368779,30166168,47114308
123,32.92,52.86,599707,920449,1350033,2005877,3118386,4940892,8247672,14435242,30333720,47421128
124,32.92,52.85,595003,919829,1346040,1985458,3121951,4927519,8192000,14463915,30503142,47421128
125,32.92,52.81,595522,921692,1344714,1998536,3121951,4940892,8192000,14284220,30354794,46462956
126,32.94,52.81,598131,922938,1354050,1992702,3116606,4945366,8192000,14312295,30187010,47267220
127,32.95,52.79,602885,921070,1354050,1997075,3102443,4940892,8229030,14340481,30270670,47369716
128,32.95,52.75,597085,925441,1352708,1982575,3129106,4972382,8235235,14378236,30397032,47318412
