Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
320,34.64,51.51,198758,316245,460846,630154,875588,1236342,1859705,2960607,5634113,8143141
321,34.64,51.51,198874,315368,461469,624390,866695,1238585,1857175,2973503,5645762,8137074
322,34.64,51.51,200745,314786,460846,626108,865048,1244228,1863512,2993058,5669204,8222836
323,34.65,51.52,203013,315660,461469,628993,866145,1239710,1869893,2963820,5622512,8204306
324,34.64,51.53,199688,318309,461469,630736,872789,1251069,1885386,2979993,5657458,8247672
325,34.64,51.54,199571,319800,462720,630154,868901,1251069,1871174,3048753,5657458,8291498
326,34.65,51.52,202292,317421,463978,631319,872789,1251069,1876317,2989781,5651604,8260146
327,34.66,51.54,200391,317716,463978,632489,872789,1249924,1877607,2986511,5669204,8278929
328,34.65,51.55,201694,320100,465243,631319,878404,1254518,1887993,3071040,5680998,8316752
329,34.63,51.52,200627,317421,463978,634842,880671,1252216,1894542,3053868,5758875,8380562
330,34.63,51.54,204228,318606,466834,636025,873907,1257985,1891917,3088407,5728672,8367722
331,34.64,51.54,202412,318904,466196,631904,875027,1251069,1890607,2993058,5704736,8285208
332,34.64,51.55,202893,317716,463348,637808,876712,1255671,1889299,3077964,5710700,8316752
333,34.63,51.54,203498,318012,465878,634842,875588,1254518,1889299,2993058,5734686,8291498
334,34.64,51.54,203741,318309,464294,636618,880103,1255671,1884085,3079699,5722668,8348535
335,34.63,51.56,203376,321305,468436,633663,881808,1269684,1905116,3086662,5758875,8386998
336,34.61,51.59,202532,318904,463978,637808,882378,1260308,1903788,3079699,5752809,8406362
337,34.63,51.61,204473,320100,469725,638404,880671,1263808,1905116,3072768,5795543,8342159
338,34.62,51.61,206827,321003,469402,639600,882949,1259145,1905116,3074498,5795543,8425816
339,34.63,51.59,204228,319800,467794,642006,888118,1274424,1911785,3081437,5777151,8419322
340,34.64,51.60,202652,321911,470372,640200,886964,1270866,1917154,3100681,5801700,8464996
341,34.64,51.60,203013,324051,467794,645039,891016,1279200,1913125,3098922,5801700,8432321
342,34.65,51.62,204228,321305,469725,643216,889275,1273236,1899814,3111280,5789400,8393443
343,34.65,51.62,204106,323436,468114,642006,886388,1267327,1915809,3107739,5758875,8412837
344,34.65,51.64,203984,321911,466515,639002,885813,1273236,1910448,3105972,5764954,8412837
345,34.66,51.63,206702,320702,469079,638404,884665,1273236,1906446,3118386,5752809,8329436
346,34.66,51.63,202412,321003,470696,641403,886388,1273236,1915809,3118386,5789400,8458441
347,34.66,51.59,205953,321305,470048,641403,887541,1268504,1929345,3121951,5826458,8471562
348,34.67,51.56,203013,321911,472652,639600,893933,1278003,1922553,3109508,5801700,8406362
349,34.67,51.57,204106,324051,466834,643823,889275,1270866,1915809,3113054,5807870,8445361
350,34.67,51.58,204350,321911,471021,643823,892180,1274424,1930709,3114829,5832680,8491319
351,34.66,51.62,206078,321911,471346,645649,888696,1281602,1917154,3107739,5826458,8497925
352,34.66,51.63,206702,322520,469402,643216,889275,1275615,1923908,3130900,5820248,8491319
353,34.66,51.62,205705,323436,472979,644430,896869,1279200,1936185,3125524,5851428,8484723
354,34.66,51.61,203741,325286,471346,647487,899232,1281602,1934813,3139900,5851428,8491319
355,34.66,51.64,206452,322825,471346,648101,898049,1278003,1929345,3123737,5838916,8537780
356,34.65,51.64,204350,327470,472979,647487,897458,1288861,1943074,3159884,5895646,8544459
357,34.66,51.64,204350,324359,474623,646261,900418,1284012,1947231,3150769,5902018,8524454
358,34.66,51.64,206202,324359,474954,648101,898640,1284012,1929345,3154409,5838916,8557848
359,34.66,51.64,205210,324667,476612,646873,900418,1293746,1938935,3148952,5902018,8598268
360,34.67,51.66,207329,324976,476279,649952,902799,1285221,1941692,3145326,5851428,8551148
361,34.67,51.63,205457,327157,474954,648101,899824,1285221,1930709,3156232,5889288,8557848
362,34.67,51.63,207708,324976,475284,649334,901012,1288861,1938935,3139900,5921214,8598268
363,34.67,51.60,208215,324359,477946,649952,901607,1291299,1948620,3172734,5889288,8605042
364,34.67,51.61,203741,325907,477612,651814,905193,1292521,1941692,3161714,5889288,8632244
365,34.67,51.60,210008,328416,479625,649952,904594,1293746,1940313,3185689,5934082,8618622
366,34.68,51.58,208088,326843,477946,654313,907600,1299905,1957000,3170892,5940536,8666490
367,34.67,51.59,206702,325286,479962,652437,905794,1301144,1957000,3195008,6016893,8687169
368,34.69,51.58,208980,326219,478281,653061,906997,1309882,1968284,3183832,6010272,8694083
369,34.69,51.56,206952,328416,480300,656831,902203,1306122,1975404,3198750,5947006,8687169
370,34.70,51.57,207329,329049,481996,656831,905794,1308626,1969704,3187549,6050222,8735804
371,34.69,51.57,208215,326843,479289,653687,903397,1303628,1978266,3236665,6013580,8728823
372,34.70,51.56,206827,330323,477612,655570,911235,1307373,1962626,3217596,6030180,8735804
373,34.70,51.57,207455,329049,482677,656831,911843,1313663,1962626,3210031,6026853,8707946
374,34.68,51.59,209493,328416,480300,658098,913674,1303628,1969704,3225197,6050222,8784987
375,34.68,51.60,207582,328732,480977,656200,917357,1313663,1973976,3223293,6111152,8784987
376,34.68,51.60,209364,328732,482677,656831,920449,1309882,1985458,3215702,6067024,8770878
377,34.69,51.62,211701,329049,482336,659369,922315,1307373,1975404,3230921,6053574,8721853
378,34.70,51.62,209236,329366,479962,658733,916126,1312400,1976834,3219493,6083922,8777927
379,34.71,51.59,210008,327785,483019,656831,919210,1308626,1979700,3221392,6063656,8728823
