Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
154,33.92,54.55,470372,739350,1094602,1662675,2511343,4099074,6782860,11894011,25337716,39172744
155,33.92,54.55,470372,740152,1123423,1653613,2525278,4148898,6829512,11906977,25323030,39455748
156,33.92,54.58,472652,743376,1102557,1660653,2529957,4152053,6838064,11906977,25264456,39562932
157,33.92,54.61,472325,740955,1102557,1658635,2527615,4108325,6876810,11881073,25470656,39420152
158,33.92,54.60,473307,741760,1117904,1660653,2518291,4123836,6816726,11804035,25381874,39243112
159,33.92,54.57,471021,742567,1104341,1657628,2522944,4120724,6816726,11804035,25545118,39278392
160,33.93,54.57,470696,742567,1097241,1656623,2520616,4136329,6799751,11868164,25264456,39172744
161,33.93,54.54,470048,741760,1112439,1652612,2513654,4117618,6808228,11804035,25293708,39207896
162,33.93,54.51,470696,742567,1112439,1649617,2522944,4114515,6816726,11804035,25337716,38997916
163,33.93,54.49,472652,739350,1113346,1641683,2522944,4114515,6799751,11816805,25367138,39032756
164,33.93,54.48,469725,740955,1098123,1651613,2525278,4126952,6808228,11829603,25381874,39172744
165,33.93,54.49,471346,742567,1101668,1653613,2518291,4145749,6816726,11829603,25352418,39102624
166,33.91,54.47,472325,742567,1111533,1659643,2534654,4130073,6850930,11972232,25590004,39349144
167,33.90,54.50,472979,745812,1112439,1663688,2534654,4158376,6855230,11972232,25545118,39278392
168,33.90,54.52,472325,744998,1119738,1661663,2537008,4142604,6850930,11906977,25832086,39598792
169,33.90,54.50,474954,744186,1108825,1665718,2541731,4158376,6885480,11959124,25710474,39562932
170,33.90,54.52,474954,744998,1110629,1669792,2537008,4139464,6876810,11881073,25530190,39313736
171,33.90,54.52,471998,744186,1123423,1666734,2539368,4152053,6859536,11985369,25530190,39455748
172,33.88,54.48,474954,744186,1111533,1657628,2544100,4161544,6881142,11919971,25620016,39742876
173,33.90,54.50,475284,744998,1099007,1672861,2537008,4167896,6859536,11959124,25545118,39384616
174,33.90,54.50,473964,746628,1121577,1675941,2539368,4177460,6868162,12107149,25650098,39742876
175,33.88,54.52,474954,746628,1122499,1665718,2539368,4158376,6868162,11959124,25771136,39888008
176,33.89,54.53,474623,746628,1103448,1671837,2548849,4145749,6876810,11972232,25515282,39742876
177,33.87,54.55,472652,745812,1106130,1664702,2544100,4161544,6881142,11932993,25575024,39742876
178,33.88,54.57,471998,745812,1122499,1657628,2541731,4145749,6907252,11932993,25650098,39634716
179,33.87,54.60,471346,745812,1115165,1669792,2541731,4171080,6868162,12093744,25680250,39742876
180,33.86,54.60,473636,745812,1123423,1671837,2551230,4158376,6885480,11972232,25515282,39924460
181,33.86,54.61,476279,744186,1122499,1660653,2548849,4161544,6894172,12127313,25771136,39634716
182,33.86,54.65,474954,746628,1104341,1673886,2558401,4199948,6907252,11972232,25801574,39851628
183,33.86,54.63,474954,749086,1130867,1670814,2553616,4187069,6881142,12107149,25832086,39742876
184,33.86,54.63,475615,746628,1116076,1672861,2551230,4187069,6915998,12120584,25862668,39742876
185,33.87,54.63,474954,748264,1116989,1675941,2558401,4167896,6937963,12093744,25740770,39634716
186,33.85,54.62,474954,749086,1123423,1674913,2560800,4187069,6933559,12087053,25695354,40144564
187,33.85,54.64,475284,739350,1108825,1670814,2565612,4180658,6924768,12140793,25725614,39924460
188,33.85,54.64,476279,737752,1129931,1664702,2556006,4193499,6920380,12229147,25832086,40107712
189,33.86,54.66,474954,737752,1135570,1668772,2560800,4180658,6929160,12060361,26016674,40144564
190,33.86,54.63,474294,740152,1131804,1661663,2551230,4167896,6915998,12120584,25801574,39634716
191,33.86,54.65,476279,736161,1124348,1668772,2553616,4196722,6942373,11985369,25650098,39779060
192,33.86,54.65,475284,740152,1126203,1670814,2553616,4196722,6942373,12195013,25620016,39670704
193,33.85,54.65,474954,738550,1118820,1675941,2558401,4177460,6933559,12127313,25893322,39997560
194,33.85,54.67,473964,738550,1112439,1668772,2556006,4180658,6933559,12167843,25605000,40107712
195,33.85,54.66,476612,748264,1118820,1671837,2546472,4190281,6924768,12161069,25924050,39598792
196,33.84,54.68,475615,737752,1124348,1690466,2560800,4180658,6898526,12147544,25771136,39888008
197,33.86,54.65,473636,739350,1125275,1675941,2556006,4203181,6933559,12127313,25620016,39815308
198,33.86,54.65,474623,749086,1128997,1671837,2556006,4164718,6911622,12147544,25740770,39598792
199,33.87,54.65,476945,747445,1107027,1670814,2544100,4167896,6898526,12080369,25560062,39455748
200,33.87,54.63,474623,738550,1123423,1663688,2553616,4171080,6924768,12127313,26016674,39634716
201,33.88,54.61,474954,737752,1131804,1679033,2558401,4177460,6933559,12100443,26032174,39888008
202,33.87,54.61,476279,749086,1123423,1673886,2560800,4177460,6920380,12167843,25908678,39851628
203,33.88,54.62,474954,745812,1131804,1675941,2556006,4183861,6933559,12147544,25832086,40034208
204,33.90,54.63,475284,749086,1131804,1670814,2548849,4196722,6915998,11919971,25710474,39670704
205,33.89,54.60,475615,749086,1124348,1675941,2556006,4167896,6920380,12093744,25801574,39888008
206,33.88,54.60,474623,747445,1128064,1671837,2563204,4206418,6924768,12127313,25970280,39960976
207,33.88,54.60,475615,748264,1117904,1678001,2560800,4177460,6907252,12140793,25877986,39960976
208,33.90,54.61,473636,745812,1125275,1675941,2553616,4171080,6920380,12107149,25924050,39742876
209,33.90,54.59,475947,737752,1136515,1682136,2556006,4177460,6924768,12140793,25939442,39670704
210,33.88,54.58,474294,737752,1110629,1670814,2548849,4174268,6937963,12107149,25939442,39742876
211,33.90,54.56,476945,749086,1109726,1673886,2553616,4174268,6915998,12161069,25801574,39888008
212,33.91,54.56,475284,749086,1111533,1670814,2553616,4167896,6907252,12147544,26001190,39670704
213,33.90,54.56,477612,740955,1119738,1676970,2563204,4196722,6968950,12093744,25954852,39888008
214,33.88,54.55,477278,747445,1111533,1670814,2558401,4193499,6942373,12147544,25862668,39815308
215,33.89,54.55,477612,739350,1129931,1675941,2565612,4164718,6960068,12140793,25893322,40255528
216,33.88,54.54,477278,738550,1116076,1671837,2570442,4206418,6942373,12140793,26001190,39924460
217,33.87,54.53,477612,736161,1114255,1671837,2563204,4203181,6929160,12140793,26032174,40181484
218,33.87,54.56,476945,736956,1116076,1682136,2563204,4187069,6955636,12167843,25954852,40181484
219,33.87,54.59,479289,742567,1108825,1666734,2560800,4187069,6937963,12140793,25954852,39888008
220,33.87,54.61,477612,740152,1127133,1672861,2563204,4183861,6924768,12147544,25877986,39997560
221,33.88,54.58,475615,749086,1112439,1679033,2553616,4190281,6924768,12154303,25877986,39960976
222,33.89,54.57,473307,740955,1115165,1667752,2553616,4190281,6929160,12154303,25939442,40181484
223,33.88,54.58,474954,749086,1120657,1675941,2560800,4203181,6929160,12120584,25740770,39924460
224,33.89,54.57,477612,737752,1108825,1672861,2563204,4193499,6915998,11972232,25862668,39888008
225,33.87,54.57,474954,749086,1105235,1675941,2553616,4212908,6924768,12113863,25877986,40144564
226,33.87,54.56,476612,749086,1126203,1676970,2558401,4174268,6924768,12195013,25847368,39960976
227,33.89,54.58,474954,748264,1114255,1674913,2568025,4203181,6915998,12174624,25771136,39779060
228,33.89,54.56,476279,748264,1111533,1672861,2560800,4183861,6924768,12174624,25786346,39779060
229,33.89,54.54,474294,749086,1128064,1682136,2551230,4190281,6920380,12080369,25695354,39670704
230,33.88,54.55,474294,748264,1119738,1669792,2553616,4203181,6933559,12147544,25877986,39815308
231,33.89,54.51,477612,737752,1114255,1667752,2553616,4203181,6924768,12127313,25635048,39924460
232,33.90,54.50,476612,749086,1116989,1671837,2556006,4187069,6911622,12113863,25650098,40034208
233,33.88,54.52,477612,740152,1111533,1674913,2558401,4155212,6942373,12127313,25939442,40144564
234,33.90,54.56,475615,749086,1113346,1691514,2551230,4206418,6942373,12195013,26141204,39742876
235,33.87,54.55,474954,748264,1107925,1676970,2558401,4206418,6937963,12215471,26125574,40292652
236,33.89,54.55,476279,748264,1114255,1673886,2548849,4216160,6964506,12147544,25939442,39960976
237,33.87,54.56,477278,749086,1126203,1671837,2563204,4193499,6955636,12208644,26109960,40107712
238,33.84,54.60,477612,740152,1114255,1681100,2563204,4199948,6995730,12229147,26016674,40255528
239,33.84,54.62,478952,740152,1120657,1683172,2570442,4212908,6973398,12256592,26141204,40181484
240,33.86,54.66,476279,740955,1134626,1687333,2575291,4219418,6955636,12304919,25985726,40034208
241,33.83,54.65,478281,741760,1125275,1680066,2572864,4212908,7000214,12249720,26125574,40554456
242,33.84,54.70,476945,740955,1124348,1685250,2575291,4232498,6982314,12256592,25939442,40144564
243,33.84,54.75,478281,740955,1112439,1682136,2575291,4209661,6977854,12242854,26109960,40292652
244,33.84,54.75,479962,741760,1121577,1682136,2572864,4248962,6977854,12263473,26172524,40255528
245,33.83,54.76,479625,738550,1117904,1691514,2585042,4225948,7004703,12263473,26078790,40516848
246,33.83,54.76,478281,742567,1134626,1689420,2580158,4222680,6995730,12249720,26125574,40404440
247,33.84,54.80,478281,740152,1129931,1689420,2580158,4212908,6995730,12277257,26141204,40367108
248,33.82,54.78,477278,740955,1118820,1685250,2572864,4216160,6982314,12229147,26125574,40218472
249,33.82,54.78,478281,741760,1116989,1694663,2572864,4235781,6977854,12242854,26141204,40367108
250,33.82,54.78,477946,740152,1119738,1688376,2577722,4222680,6960068,12174624,26203918,41011264
251,33.83,54.78,480300,740152,1120657,1680066,2575291,4212908,7013698,12195013,25970280,40441840
252,33.83,54.78,477278,739350,1114255,1683172,2582598,4239068,6991252,12297992,26298556,40255528
