Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
479,33.33,100.00,566842,870008,1266152,1827348,2776949,4385439,7280160,12668858,26266934,41360680
480,33.33,100.00,565902,872232,1268504,1835948,2785447,4424520,7314286,12566826,26362028,40554456
481,33.33,100.00,565433,870563,1259145,1839659,2776949,4442516,7294746,12588552,26377944,40934416
482,33.33,100.00,565902,871675,1264978,1828571,2762900,4435300,7309391,12566826,26298556,40972804
483,33.33,100.00,565902,869454,1256827,1826126,2757321,4420939,7314286,12466426,26235388,40516848
484,33.33,100.00,567313,870008,1260308,1848376,2774128,4438906,7314286,12509257,26330254,40667700
485,33.33,100.00,566372,866695,1262639,1838420,2782609,4410229,7304503,12646854,26298556,41204652
486,33.33,100.00,568258,870008,1253366,1838420,2765699,4388964,7294746,12603077,26362028,40292652
487,33.33,100.00,566372,867797,1263808,1843384,2754539,4442516,7309391,12545176,26251152,40857856
488,33.33,100.00,567313,872232,1262639,1858439,2791142,4486309,7383506,12757641,26716674,41321564
489,33.33,100.00,573027,876150,1267327,1863512,2808365,4508530,7398510,12862807,26798610,41243548
490,33.33,100.00,572067,874466,1269684,1853394,2808365,4442516,7393502,12765095,26749388,41557388
491,33.33,100.00,570632,876712,1272050,1868613,2805480,4464305,7388500,12787512,26914168,41956468
492,33.33,100.00,571588,881239,1287645,1882786,2828729,4538504,7464237,12870385,27114604,42281292
493,33.33,100.00,573991,887541,1287645,1880193,2849391,4576536,7557196,13047183,27420920,42486872
494,33.33,100.00,577878,886964,1296202,1899814,2870358,4561247,7588698,13023847,27559294,42694464
495,33.33,100.00,577389,889275,1287645,1878899,2855350,4576536,7562428,13101959,27386544,43030860
496,33.33,100.00,576414,890435,1296202,1903788,2864336,4599663,7562428,13101959,27663994,42778068
497,33.33,100.00,578858,890435,1291299,1897175,2855350,4603540,7593974,13000595,27629006,43073284
498,33.33,100.00,578858,889275,1298668,1890607,2861334,4615212,7588698,12992863,27576688,42736224
499,33.33,100.00,575928,891598,1291299,1902462,2852368,4619114,7593974,13236922,27559294,42528228
500,33.33,100.00,577389,889275,1301144,1889299,2864336,4553641,7588698,13008337,27507240,43115788
501,33.33,100.00,577878,887541,1288861,1889299,2843457,4595792,7536338,13047183,27352254,42611184
502,33.33,100.00,575928,887541,1287645,1881488,2825802,4515987,7505268,13101959,27455384,42037204
503,33.33,100.00,576901,885813,1291299,1891917,2843457,4568879,7531142,12962025,27283930,42486872
504,33.33,100.00,573509,882378,1284012,1877607,2840499,4519724,7525953,12977426,27335140,41755972
505,33.33,100.00,575928,884092,1282806,1877607,2846421,4515987,7515596,12923684,27249896,41876040
506,33.33,100.00,573991,883520,1280400,1880193,2849391,4519724,7531142,13023847,27507240,42363284
507,33.33,100.00,574958,892764,1286432,1884085,2849391,4538504,7525953,13047183,27420920,42694464
508,33.33,100.00,575928,884665,1290079,1882786,2840499,4549848,7469341,12885568,27030728,41916212
509,33.33,100.00,570156,879536,1269684,1828571,2748993,4413793,7241547,12445120,26094366,40404440
510,33.33,100.00,565433,867245,1246500,1824905,2774128,4417363,7270468,12566826,26346130,40255528
511,33.33,100.00,565433,870008,1257985,1840899,2765699,4442516,7329009,12603077,26505966,41399872
512,33.33,100.00,569680,871675,1267327,1857175,2788291,4464305,7329009,12624928,26377944,40479308
513,33.33,100.00,567313,876712,1262639,1842141,2788291,4453384,7314286,12705700,26505966,41165828
514,33.33,100.00,565433,867797,1268504,1853394,2788291,4449756,7275311,12574060,26489894,41011264
515,33.33,100.00,565902,875027,1260308,1848376,2791142,4482626,7348733,12668858,26489894,41049796
516,33.33,100.00,569205,874466,1264978,1845876,2771312,4467958,7348733,12559601,26538166,41088400
517,33.33,100.00,567313,871675,1262639,1842141,2788291,4453384,7333930,12654180,26554294,41165828
518,33.33,100.00,567785,873907,1274424,1853394,2793997,4475280,7373538,12795002,26831526,41517896
519,33.33,100.00,568731,876150,1279200,1853394,2822881,4489998,7428701,12780031,26782182,41716104
520,33.33,100.00,572547,880671,1281602,1876317,2817056,4530974,7489828,12832583,27030728,42158892
521,33.33,100.00,573991,882378,1280400,1887993,2846421,4512256,7546752,13016087,27611544,41636596
522,33.33,100.00,574958,882378,1286432,1894542,2855350,4607424,7583430,13062787,27559294,42988520
523,33.33,100.00,578368,887541,1284012,1886688,2870358,4561247,7599258,13173065,27699070,43158380
524,33.33,100.00,577389,887541,1291299,1910448,2876404,4623025,7652499,13236922,27893594,43458884
525,33.33,100.00,581323,895692,1297434,1910448,2907026,4674465,7652499,13309504,27929256,42904092
526,33.33,100.00,583310,899232,1304874,1915809,2900850,4630865,7668617,13391091,28199656,42778068
527,33.33,100.00,581323,894518,1301144,1914466,2882477,4654546,7690214,13309504,27893594,42904092
528,33.33,100.00,580828,893933,1293746,1909112,2885523,4666477,7674004,13293306,27911414,43807488
529,33.33,100.00,582314,897458,1311140,1914466,2907026,4630865,7668617,13301400,28090870,43458884
530,33.33,100.00,583310,891598,1298668,1913125,2894700,4638732,7668617,13261028,27840272,42778068
531,33.33,100.00,580828,892764,1299905,1894542,2891634,4626942,7631113,13261028,27875798,43243812
532,33.33,100.00,579841,890435,1293746,1905116,2873378,4623025,7599258,13054980,27716642,42611184
533,33.33,100.00,579841,893933,1298668,1907778,2882477,4576536,7615152,13188972,27804836,43201056
534,33.33,100.00,579841,892180,1296202,1902462,2870358,4599663,7652499,13220900,27911414,43329588
535,33.33,100.00,579841,901012,1296202,1905116,2879438,4666477,7690214,13293306,27929256,43329588
536,33.33,100.00,583310,895692,1298668,1917154,2894700,4654546,7652499,13252983,28054794,43502156
537,33.33,100.00,580334,902203,1296202,1905116,2913229,4654546,7620465,13244947,28000854,43201056
538,33.33,100.00,579349,895692,1303628,1901137,2882477,4595792,7620465,13220900,27804836,43030860
539,33.33,100.00,577878,892764,1302385,1913125,2879438,4580374,7625786,13293306,27646488,42778068
540,33.33,100.00,578858,898640,1302385,1903788,2888576,4638732,7631113,13301400,27787152,43676108
541,33.33,100.00,576901,878970,1259145,1853394,2776949,4453384,7319187,12624928,26314394,40629884
542,33.33,100.00,566372,871675,1264978,1845876,2791142,4486309,7373538,12757641,26815058,41439140
543,33.33,100.00,570632,876712,1276808,1866059,2819966,4515987,7459140,12727908,27148302,42077688
544,33.33,100.00,570632,880103,1276808,1878899,2846421,4523468,7505268,13000595,27064216,42363284
545,33.33,100.00,574958,882378,1290079,1881488,2867343,4599663,7593974,13125576,27352254,42569664
546,33.33,100.00,575928,892180,1296202,1894542,2870358,4607424,7604548,13109822,27734236,43115788
547,33.33,100.00,575928,889275,1291299,1898494,2876404,4611314,7641791,13285222,27787152,43115788
548,33.33,100.00,576901,890435,1293746,1894542,2870358,4619114,7652499,13285222,27629006,42946264
549,33.33,100.00,577878,891016,1299905,1891917,2891634,4615212,7657864,13157197,27804836,43286656
550,33.33,100.00,577878,892180,1301144,1898494,2870358,4630865,7615152,13269083,27663994,43415700
551,33.33,100.00,576901,888118,1288861,1901137,2888576,4591928,7631113,13293306,27804836,43415700
552,33.33,100.00,578368,893348,1296202,1921201,2907026,4658516,7695632,13399305,27875798,43807488
553,33.33,100.00,579841,892180,1299905,1915809,2900850,4670468,7706491,13448800,28327642,43983892
554,33.33,100.00,579841,895105,1301144,1915809,2882477,4666477,7695632,13309504,28181466,43458884
555,33.33,100.00,583310,894518,1303628,1906446,2907026,4658516,7706491,13366510,28127038,43632492
556,33.33,100.00,582314,895105,1306122,1918501,2916340,4646625,7755740,13548894,28456796,44072628
557,33.33,100.00,583310,898640,1299905,1933444,2922583,4642675,7722838,13424007,28236106,43939660
558,33.33,100.00,582812,906395,1303628,1926623,2916340,4686499,7728302,13391091,28364424,43632492
559,33.33,100.00,584809,899824,1307373,1934813,2891634,4686499,7695632,13350173,28090870,43632492
560,33.33,100.00,580334,896280,1311140,1917154,2916340,4678470,7733774,13457084,28382850,44117132
561,33.33,100.00,582314,896869,1306122,1918501,2916340,4686499,7739254,13407529,28272648,44161724
562,33.33,100.00,583310,894518,1309882,1918501,2910124,4690524,7739254,13350173,28199656,43676108
563,33.33,100.00,582812,898049,1308626,1915809,2907026,4678470,7739254,13407529,28199656,44028216
564,33.33,100.00,581818,897458,1302385,1918501,2913229,4690524,7739254,13407529,28272648,43983892
565,33.33,100.00,582314,904594,1304874,1921201,2913229,4654546,7717381,13382887,28036792,43895512
566,33.33,100.00,583310,902203,1304874,1909112,2916340,4623025,7728302,13342020,28018812,43676108
567,33.33,100.00,578858,893933,1309882,1915809,2900850,4658516,7684803,13374694,28036792,43763608
568,33.33,100.00,579841,896280,1298668,1913125,2882477,4662493,7657864,13269083,28072820,43851456
569,33.33,100.00,585812,899824,1293746,1910448,2900850,4658516,7674004,13325742,28072820,43632492
570,33.33,100.00,580828,896280,1309882,1911785,2913229,4674465,7690214,13325742,28127038,43763608
571,33.33,100.00,581818,899824,1308626,1914466,2897772,4670468,7739254,13374694,28018812,43851456
572,33.33,100.00,581818,896280,1301144,1906446,2925714,4686499,7706491,13374694,28217868,43719812
573,33.33,100.00,582812,898640,1301144,1918501,2907026,4634795,7739254,13382887,28382850,44028216
574,33.33,100.00,583310,895692,1303628,1915809,2925714,4662493,7706491,13333876,27911414,43807488
575,33.33,100.00,583310,895105,1309882,1907778,2916340,4678470,7717381,13399305,27929256,43763608
576,33.33,100.00,582314,896280,1299905,1918501,2891634,4674465,7717381,13424007,28054794,43632492
577,33.33,100.00,580828,895105,1307373,1907778,2916340,4674465,7711932,13457084,28217868,43415700
578,33.33,100.00,580828,900418,1299905,1910448,2907026,4634795,7674004,13333876,28036792,43632492
579,33.33,100.00,579349,893348,1297434,1909112,2894700,4658516,7663236,13309504,28000854,43502156
580,33.33,100.00,578858,892764,1303628,1913125,2913229,4619114,7684803,13358337,27911414,43372600
581,33.33,100.00,580334,898640,1303628,1907778,2903935,4630865,7663236,13244947,27911414,43030860
582,33.33,100.00,580828,892764,1302385,1910448,2894700,4638732,7663236,13277147,27929256,43545516
583,33.33,100.00,577878,892764,1296202,1895858,2888576,4650582,7641791,13285222,28072820,43115788
584,33.33,100.00,581323,892764,1291299,1898494,2873378,4591928,7599258,13165127,27982920,42946264
585,33.33,100.00,576901,889275,1291299,1906446,2885523,4607424,7636448,13157197,27911414,42988520
586,33.33,100.00,577878,889854,1298668,1902462,2882477,4634795,7668617,13252983,28199656,43243812
587,33.33,100.00,581323,892764,1304874,1915809,2873378,4642675,7652499,13204916,27911414,43545516
588,33.33,100.00,580334,889854,1303628,1910448,2900850,4654546,7706491,13523731,28272648,42988520
589,33.33,100.00,583310,895105,1307373,1915809,2910124,4670468,7717381,13350173,28036792,43676108
590,33.33,100.00,581323,896280,1311140,1919850,2907026,4686499,7728302,13358337,27982920,43983892
591,33.33,100.00,582812,896280,1306122,1913125,2897772,4670468,7739254,13358337,28199656,43458884
592,33.33,100.00,581818,893348,1307373,1917154,2916340,4682480,7706491,13407529,28199656,44117132
593,33.33,100.00,583310,902203,1298668,1917154,2931997,4682480,7722838,13490325,28327642,44161724
594,33.33,100.00,584809,896869,1309882,1921201,2900850,4654546,7739254,13532108,28438272,44567156
595,33.33,100.00,583310,900418,1316195,1930709,2951009,4718894,7816794,13591041,28456796,44795624
596,33.33,100.00,585310,901012,1307373,1951405,2951009,4735260,7794482,13616455,28680962,44703956
597,33.33,100.00,589352,902799,1312400,1941692,2954201,4743486,7861804,13557302,28662148,44341000
598,33.33,100.00,587324,902203,1311140,1936185,2944644,4731158,7783373,13616455,28568440,44028216
599,33.33,100.00,587830,911235,1317465,1941692,2944644,4718894,7844864,13591041,28493914,44431188
600,33.33,100.00,585310,908204,1322570,1944458,2951009,4731158,7861804,13676127,28493914,44749744
601,33.33,100.00,586820,911235,1316195,1934813,2954201,4747610,7827998,13557302,28756472,44933836
602,33.33,100.00,586820,908808,1325138,1944458,2947823,4739370,7833612,13701861,28587132,44658264
603,33.33,100.00,587324,908808,1321290,1955598,2970268,4706694,7844864,13607973,28662148,44072628
604,33.33,100.00,584809,902799,1306122,1952801,2947823,4698595,7856150,13557302,28568440,44521740
605,33.33,100.00,583808,903995,1322570,1937559,2954201,4747610,7839234,13736324,28643356,44795624
606,33.33,100.00,585812,903995,1317465,1940313,2938307,4739370,7844864,13540496,28643356,44206408
607,33.33,100.00,585310,902203,1314928,1937559,2963820,4690524,7816794,13607973,28475342,44206408
608,33.33,100.00,585310,901012,1314928,1923908,2944644,4690524,7766770,13490325,28493914,43588960
609,33.33,100.00,582812,904594,1297434,1927983,2916340,4623025,7711932,13342020,28327642,44072628
610,33.33,100.00,579349,891016,1294973,1919850,2888576,4642675,7641791,13244947,27929256,43545516
611,33.33,100.00,578858,895692,1298668,1917154,2913229,4690524,7772296,13440525,28217868,44117132
612,33.33,100.00,581818,902203,1307373,1915809,2903935,4634795,7668617,13333876,28054794,43415700
613,33.33,100.00,580828,900418,1302385,1913125,2900850,4599663,7701058,13399305,27911414,43719812
614,33.33,100.00,579841,899232,1296202,1915809,2919458,4670468,7684803,13325742,28217868,43719812
615,33.33,100.00,575928,888118,1274424,1877607,2831663,4553641,7500114,12946661,27249896,42077688
616,33.33,100.00,575443,885813,1284012,1889299,2876404,4607424,7604548,13204916,27769492,43502156
617,33.33,100.00,577878,892180,1296202,1922553,2903935,4670468,7711932,13382887,28072820,43807488
618,33.33,100.00,577878,887541,1292521,1895858,2864336,4654546,7567668,13109822,27716642,42158892
619,33.33,100.00,577389,891598,1293746,1898494,2876404,4611314,7609846,13204916,27875798,42946264
620,33.33,100.00,578368,892764,1303628,1914466,2897772,4658516,7652499,13269083,28090870,43676108
621,33.33,100.00,576414,896280,1301144,1906446,2873378,4662493,7674004,13212903,27787152,43588960
622,33.33,100.00,581323,898049,1302385,1905116,2876404,4615212,7593974,13101959,27629006,42904092
623,33.33,100.00,576901,887541,1282806,1890607,2858339,4588070,7562428,13109822,27335140,42611184
624,33.33,100.00,574474,884665,1286432,1893229,2822881,4519724,7433757,12840125,27199004,42199612
625,33.33,100.00,571588,880103,1278003,1876317,2840499,4549848,7520771,13039395,27386544,42037204
626,33.33,100.00,572547,881239,1281602,1885386,2855350,4595792,7557196,13047183,27594106,42904092
627,33.33,100.00,574958,881808,1280400,1873742,2840499,4553641,7510428,12916043,27131442,41876040
